ENSSSAG00000045855	myct1b	Gene Expression
ENSSSAG00000076605	crip1	Gene Expression
ENSSSAG00000074759	wdhd1	Gene Expression
ENSSSAG00000067235	ENSSSAG00000067235	Gene Expression
ENSSSAG00000102831	rab32b	Gene Expression
ENSSSAG00000053423	grm1b	Gene Expression
ENSSSAG00000002137	rangap1b	Gene Expression
ENSSSAG00000039451	ENSSSAG00000039451	Gene Expression
ENSSSAG00000077250	fbn2a	Gene Expression
ENSSSAG00000100626	ENSSSAG00000100626	Gene Expression
ENSSSAG00000102395	ENSSSAG00000102395	Gene Expression
ENSSSAG00000056942	ENSSSAG00000056942	Gene Expression
ENSSSAG00000119651	C18orf25	Gene Expression
ENSSSAG00000083691	kcnk1b	Gene Expression
ENSSSAG00000083428	LGALSL	Gene Expression
ENSSSAG00000088036	ENSSSAG00000088036	Gene Expression
ENSSSAG00000078277	lamc3	Gene Expression
ENSSSAG00000103788	abch1	Gene Expression
ENSSSAG00000082310	tmem26b	Gene Expression
ENSSSAG00000101951	ENSSSAG00000101951	Gene Expression
ENSSSAG00000000133	egr2b	Gene Expression
ENSSSAG00000098531	adoa	Gene Expression
ENSSSAG00000085300	ENSSSAG00000085300	Gene Expression
ENSSSAG00000114544	ENSSSAG00000114544	Gene Expression
ENSSSAG00000043941	ENSSSAG00000043941	Gene Expression
ENSSSAG00000005107	ENSSSAG00000005107	Gene Expression
ENSSSAG00000047183	phf3	Gene Expression
ENSSSAG00000084340	ENSSSAG00000084340	Gene Expression
ENSSSAG00000001976	ENSSSAG00000001976	Gene Expression
ENSSSAG00000102681	ENSSSAG00000102681	Gene Expression
ENSSSAG00000091683	ENSSSAG00000091683	Gene Expression
ENSSSAG00000088336	ENSSSAG00000088336	Gene Expression
ENSSSAG00000002171	zc3h7bb	Gene Expression
ENSSSAG00000086413	slc35f3	Gene Expression
ENSSSAG00000001849	ENSSSAG00000001849	Gene Expression
ENSSSAG00000102113	ENSSSAG00000102113	Gene Expression
ENSSSAG00000089060	ENSSSAG00000089060	Gene Expression
ENSSSAG00000118196	ENSSSAG00000118196	Gene Expression
ENSSSAG00000007135	ppp1r14d	Gene Expression
ENSSSAG00000000380	ankfn1	Gene Expression
ENSSSAG00000071969	si:dkey-85a20.4	Gene Expression
ENSSSAG00000100900	ENSSSAG00000100900	Gene Expression
ENSSSAG00000071424	ENSSSAG00000071424	Gene Expression
ENSSSAG00000104504	ENSSSAG00000104504	Gene Expression
ENSSSAG00000110102	ENSSSAG00000110102	Gene Expression
ENSSSAG00000001968	ENSSSAG00000001968	Gene Expression
ENSSSAG00000000252	ENSSSAG00000000252	Gene Expression
ENSSSAG00000093142	ENSSSAG00000093142	Gene Expression
ENSSSAG00000020018	djb12	Gene Expression
ENSSSAG00000121150	ENSSSAG00000121150	Gene Expression
ENSSSAG00000001973	lrrc74a	Gene Expression
ENSSSAG00000015795	ddit4	Gene Expression
ENSSSAG00000115398	anapc16	Gene Expression
ENSSSAG00000068978	PSTK	Gene Expression
ENSSSAG00000077619	ENSSSAG00000077619	Gene Expression
ENSSSAG00000100993	dusp26	Gene Expression
ENSSSAG00000084500	glrx3	Gene Expression
ENSSSAG00000000269	ascc1	Gene Expression
ENSSSAG00000077528	grk5	Gene Expression
ENSSSAG00000084335	ENSSSAG00000084335	Gene Expression
ENSSSAG00000083481	ENSSSAG00000083481	Gene Expression
ENSSSAG00000104252	ENSSSAG00000104252	Gene Expression
ENSSSAG00000120599	aif1l	Gene Expression
ENSSSAG00000025400	pdxp	Gene Expression
ENSSSAG00000002639	ENSSSAG00000002639	Gene Expression
ENSSSAG00000083287	ENSSSAG00000083287	Gene Expression
ENSSSAG00000001552	snapc1b	Gene Expression
ENSSSAG00000001557	syt16	Gene Expression
ENSSSAG00000025146	setd9	Gene Expression
ENSSSAG00000003414	clic4	Gene Expression
ENSSSAG00000001932	ENSSSAG00000001932	Gene Expression
ENSSSAG00000018538	mier3a	Gene Expression
ENSSSAG00000119796	SPOCK2	Gene Expression
ENSSSAG00000000326	ENSSSAG00000000326	Gene Expression
ENSSSAG00000063684	ENSSSAG00000063684	Gene Expression
ENSSSAG00000000312	ppa1a	Gene Expression
ENSSSAG00000063690	ENSSSAG00000063690	Gene Expression
ENSSSAG00000078244	fibcd1	Gene Expression
ENSSSAG00000000303	lrrc20	Gene Expression
ENSSSAG00000054880	SHPRH	Gene Expression
ENSSSAG00000024248	ndr2	Gene Expression
ENSSSAG00000083642	pald1	Gene Expression
ENSSSAG00000014073	whrna	Gene Expression
ENSSSAG00000100770	ENSSSAG00000100770	Gene Expression
ENSSSAG00000084886	ENSSSAG00000084886	Gene Expression
ENSSSAG00000005343	ENSSSAG00000005343	Gene Expression
ENSSSAG00000096546	ENSSSAG00000096546	Gene Expression
ENSSSAG00000005365	ENSSSAG00000005365	Gene Expression
ENSSSAG00000032838	ENSSSAG00000032838	Gene Expression
ENSSSAG00000084890	ENSSSAG00000084890	Gene Expression
ENSSSAG00000092220	ENSSSAG00000092220	Gene Expression
ENSSSAG00000063710	gnds	Gene Expression
ENSSSAG00000099892	coq4	Gene Expression
ENSSSAG00000017964	ENSSSAG00000017964	Gene Expression
ENSSSAG00000046864	traf2b	Gene Expression
ENSSSAG00000113367	ENSSSAG00000113367	Gene Expression
ENSSSAG00000090948	ENSSSAG00000090948	Gene Expression
ENSSSAG00000044236	ptprea	Gene Expression
ENSSSAG00000015618	ENSSSAG00000015618	Gene Expression
ENSSSAG00000119938	SIX2	Gene Expression
ENSSSAG00000003755	KAT6B	Gene Expression
ENSSSAG00000104933	ENSSSAG00000104933	Gene Expression
ENSSSAG00000003853	sdk2b	Gene Expression
ENSSSAG00000114149	ENSSSAG00000114149	Gene Expression
ENSSSAG00000110860	ENSSSAG00000110860	Gene Expression
ENSSSAG00000003795	ENSSSAG00000003795	Gene Expression
ENSSSAG00000101299	dusp13	Gene Expression
